IsMonthToMonth,tenure,AvgChargePerMonth,OnlineSecurity_No,Contract_Two year,TechSupport_No,IsLongTerm,TenureGroup_0-1yr,TotalCharges,InternetService_Fiber optic,MonthlyCharges,TenureGroup_4-6yr,OnlineBackup_No,PaymentMethod_Electronic check,DeviceProtection_No,InternetService_No,Contract_One year,HighMonthlyCharges,PaperlessBilling_No,PartnerAndDependents,HasTechSupport,InternetService_DSL,HasOnlineSecurity,Dependents_No,Partner_No,TotalServices,SeniorCitizen,StreamingTV_Yes,HasStreaming,StreamingTV_No
1.0,35.0,-0.007084470006979369,1.0,0.0,1.0,1.0,0.0,-0.2550409202512573,0.0,-0.5172074769706297,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
1.0,15.0,-0.031108477736302882,0.0,0.0,1.0,0.0,0.0,-0.4977356437808461,1.0,0.3436033691154218,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
0.0,13.0,-0.05323767840764649,0.0,1.0,0.0,0.0,0.0,-0.7453274977070509,0.0,-0.8046983579993692,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
0.0,26.0,-0.006111760952150388,1.0,1.0,1.0,1.0,0.0,-0.1650175457080605,0.0,0.290425865110106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0
1.0,1.0,-0.4930625673432995,1.0,0.0,1.0,0.0,1.0,-0.986125134686599,0.0,-0.6717545979860794,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,66.0,0.019203742234322516,1.0,1.0,0.0,1.0,0.0,1.2866507296996086,0.0,0.4898415051300408,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0
1.0,1.0,-0.4985222059611484,0.0,0.0,0.0,0.0,1.0,-0.9970444119222968,0.0,-1.4943441130683104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0010692304381422072,1.0,0.0,1.0,1.0,0.0,0.0438384479638305,0.0,-0.2712615209460435,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0
0.0,65.0,0.010217166014472255,1.0,1.0,0.0,1.0,0.0,0.6743329569551688,0.0,-0.1649065129354117,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0
0.0,60.0,0.01856812839274384,1.0,0.0,0.0,1.0,0.0,1.1326558319573743,0.0,0.5247392421335293,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,0.0
1.0,5.0,-0.14646422176463347,0.0,0.0,0.0,0.0,1.0,-0.8787853305878008,0.0,-0.1615829189350795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0
1.0,5.0,-0.1505304576645263,0.0,0.0,1.0,0.0,1.0,-0.9031827459871578,0.0,-0.5105602889699654,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1.0,2.0,-0.3171640918584654,0.0,0.0,1.0,0.0,1.0,-0.9514922755753962,0.0,-0.4590445819648154,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
1.0,30.0,-0.003978250319323639,0.0,0.0,0.0,1.0,0.0,-0.1233257598990328,0.0,0.0943338190905033,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
1.0,36.0,0.01424264492265071,1.0,0.0,1.0,1.0,0.0,0.5269778621380763,1.0,1.0182929511828682,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0
0.0,55.0,0.012312672309919503,1.0,1.0,1.0,1.0,0.0,0.6895096493554922,1.0,0.142525932095321,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,31.0,0.00460023768109695,0.0,0.0,1.0,1.0,0.0,0.1472076057951024,1.0,0.6643301901474837,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0
